course,level,subject,a+%,>=b+%,pass%
SCIGEN201,200,SCIGEN,7%,54%,91%
SCIGEN399,300,SCIGEN,19%,90%,99%
SOCIOL100,100,SOCHLTH,8%,54%,85%
SOCIOL105,100,SOCIOL,5%,41%,76%
SOCIOL217,200,SOCIOL,6%,41%,81%
SOCIOL229,200,SOCIOL,16%,58%,89%
SOCIOL300,300,SOCIOL,8%,52%,86%
SOCIOL309,300,SOCIOL,2%,36%,88%
SOCWORK200A,200,SOCWORK,11%,36%,79%
SOCWORK201A,200,SOCWORK,17%,60%,83%
SOCWORK202A,200,SOCWORK,11%,44%,79%
SOCWORK221A,200,SOCWORK,7%,40%,77%
SOCWORK311,300,SOCWORK,14%,69%,98%
SOCWORK315,300,SOCWORK,34%,79%,98%
SOCWORK401,400,SOCWORK,2%,64%,100%
SOCWORK411,400,SOCWORK,9%,52%,97%
SOCWORK413,400,SOCWORK,12%,45%,93%
SOCWORK426,400,SOCWORK,16%,78%,98%
SOFTENG281,200,SOFTENG,41%,70%,92%
SOFTENG282,200,SOFTENG,26%,82%,99%
SOFTENG350,300,SOFTENG,23%,91%,99%
SOFTENG351,300,SOFTENG,31%,86%,98%
SOFTENG370,300,SOFTENG,20%,72%,97%
SPANISH104,100,SPANISH,12%,41%,78%
SPANISH104G,100,SPANISH,12%,41%,79%
SPANISH200,200,SPANISH,20%,68%,95%
SPANISH319,300,SPANISH,23%,68%,96%
SPORT202,200,SPANISH,28%,55%,93%
SPORTHPE102,100,SPORTHPE,17%,43%,78%
SPORTHPE104,100,SPORTHPE,7%,28%,81%
SPORTHPE202,200,SPORTHPE,16%,46%,79%
SPORTHPE301,300,SPORTHPE,7%,38%,94%
STATS100,100,SPORTHPE,8%,38%,79%
STATS101,100,STATS,13%,46%,82%
STATS108,100,STATS,11%,47%,86%
STATS125,100,STATS,32%,63%,86%
STATS201,200,STATS,13%,43%,81%
STATS208,200,STATS,12%,44%,81%
STATS210,200,STATS,18%,49%,85%
STATS220,200,STATS,19%,50%,87%
STATS225,200,STATS,24%,57%,86%
STATS255,200,STATS,8%,35%,72%
STATS302,300,STATS,11%,51%,87%
STATS310,300,STATS,13%,41%,75%
STATS320,300,STATS,29%,62%,87%
STATS326,300,STATS,11%,45%,86%
STATS330,300,STATS,11%,45%,87%
STATS380,300,STATS,11%,48%,85%
STRCTENG200,200,STATS,3%,24%,87%
STRCTENG300,300,STATS,5%,42%,94%
STRCTENG301,300,STATS,6%,40%,90%
STRCTENG304,300,STATS,4%,37%,94%
SUSTAIN200,200,STATS,11%,59%,94%
THEOREL101,100,STATS,32%,69%,88%
THEOREL101G,100,STATS,33%,72%,88%
THEOREL201,200,STATS,22%,63%,85%
THEOREL206,200,STATS,4%,26%,52%
THEOREL216,200,STATS,23%,60%,87%
THEOREL306,300,STATS,20%,36%,60%
THEOREL316,300,STATS,32%,53%,76%
THEOREL320,300,STATS,31%,62%,69%
TONGAN101,100,STATS,4%,49%,79%
TONGAN101G,100,STATS,8%,55%,86%
TONGAN301,300,STATS,11%,38%,46%
URBPLAN221,200,STATS,10%,90%,97%
URBPLAN222,200,STATS,5%,70%,98%
URBPLAN225,200,STATS,6%,69%,97%
URBPLAN321,300,STATS,3%,82%,100%
URBPLAN322,300,STATS,3%,47%,99%
URBPLAN325,300,STATS,3%,60%,99%
WINESCI201,200,STATS,8%,43%,90%
WTR100,100,STATS,15%,67%,91%
WTRBUS100,100,STATS,1%,64%,95%
WTRENG100,100,STATS,21%,84%,98%
WTRMHS100,100,STATS,20%,88%,98%
WTRSCI100,100,STATS,50%,83%,95%
ACCTG323,300,ACCTG,3%,44%,95%
ACCTG331,300,ACCTG,4%,45%,94%
ANCIENT104,100,ACCTG,7%,49%,84%
ANCIENT220,200,ANCIENT,16%,42%,65%
ANCIENT221,200,ANCIENT,47%,77%,91%
ANCIENT252,200,ANCIENT,37%,70%,84%
ANCIENT260,200,ANCIENT,8%,49%,84%
ANCIENT321,300,ANCIENT,57%,100%,100%
ANCIENT352,300,ANCIENT,32%,53%,77%
ANCIENT360,300,ANCIENT,8%,59%,84%
ANTHRO108,100,ANCIENT,5%,51%,82%
ANTHRO202,200,ANTHRO,16%,59%,88%
ANTHRO205,200,ANTHRO,6%,34%,81%
ANTHRO207,200,ANTHRO,10%,40%,80%
ANTHRO226,200,ANTHRO,22%,78%,91%
ANTHRO227,200,ANTHRO,19%,50%,94%
ANTHRO321,300,ANTHRO,6%,54%,87%
ANTHRO349,300,ANTHRO,6%,41%,88%
ANTHRO353,300,ANTHRO,10%,71%,93%
ANTHRO399,300,ANTHRO,4%,69%,83%
ARCHDES103,100,ANTHRO,10%,49%,93%
ARCHDES201,200,ARCHDES,11%,65%,97%
ARCHDES301,300,ARCHDES,9%,54%,92%
ARCHDRC104,100,ARCHDES,7%,46%,93%
ARCHHTC102,100,ARCHDRC,2%,44%,94%
ARCHHTC237,200,ARCHDRC,3%,43%,94%
ARCHPRM305,300,ARCHHTC,5%,73%,99%
ARCHTECH210,200,ARCHTECH,3%,49%,97%
ARCHTECH315,300,ARCHTECH,5%,55%,94%
ARTHIST114,100,ARCHTECH,3%,39%,77%
ARTHIST231,200,ARTHIST,19%,67%,91%
ARTHIST238,200,ARTHIST,4%,52%,77%
ARTHIST249,200,ARTHIST,11%,67%,93%
ARTHIST331,300,ARTHIST,15%,60%,89%
ARTHIST338,300,ARTHIST,10%,42%,77%
ARTHIST349,300,ARTHIST,6%,53%,81%
ARTSGEN300,300,ARTSGEN,24%,33%,33%
ASIAN140,100,ASIAN,5%,52%,86%
ASIAN200,200,ASIAN,13%,56%,89%
ASIAN303,300,ASIAN,9%,58%,95%
ASTRO110,100,ASTRO,14%,43%,76%
ASTRO200,200,ASTRO,11%,57%,92%
ASTRO200G,200,ASTRO,11%,57%,89%
BIOMED399,300,ASTRO,26%,87%,98%
BIOMENG241,200,BIOMENG,18%,70%,97%
BIOMENG261,200,BIOMENG,38%,79%,98%
BIOSCI100,100,BIOMENG,4%,40%,86%
BIOSCI100G,100,BIOMENG,6%,35%,83%
BIOSCI101,100,BIOMENG,26%,67%,93%
BIOSCI106,100,BIOMENG,24%,64%,93%
BIOSCI202,200,BIOSCI,9%,44%,85%
BIOSCI203,200,BIOSCI,6%,35%,81%
BIOSCI205,200,BIOSCI,7%,44%,85%
BIOSCI207,200,BIOSCI,11%,59%,94%
BIOSCI210,200,BIOSCI,7%,37%,85%
BIOSCI325,300,BIOSCI,13%,62%,96%
BIOSCI326,300,BIOSCI,6%,39%,88%
BIOSCI333,300,BIOSCI,15%,71%,96%
BIOSCI335,300,BIOSCI,7%,45%,85%
BIOSCI337,300,BIOSCI,17%,71%,95%
BIOSCI347,300,BIOSCI,5%,35%,86%
BIOSCI348,300,BIOSCI,3%,35%,88%
BIOSCI353,300,BIOSCI,16%,61%,93%
BIOSCI355,300,BIOSCI,5%,34%,83%
BIOSCI358,300,BIOSCI,13%,57%,96%
BIOSCI395,300,BIOSCI,14%,52%,88%
BIOSCI399,300,BIOSCI,48%,96%,99%
BUSAN101,100,BLTENV,7%,76%,99%
BUSAN305,300,BUSAN,14%,63%,92%
BUSAN307,300,BUSAN,8%,59%,94%
BUSINESS113,100,BUSINESS,3%,57%,100%
CAREER100,100,BUSINESS,7%,68%,96%
CHEM251,200,CHEM,8%,36%,76%
CHEM253,200,CHEM,8%,39%,82%
CHEM310,300,CHEM,5%,23%,82%
CHEM330,300,CHEM,7%,41%,86%
CHEM340,300,CHEM,8%,34%,84%
CHEM360,300,CHEM,10%,52%,92%
CHEM392,300,CHEM,9%,57%,91%
CHEMMAT121,100,CHEM,11%,49%,93%
CHEMMAT202,200,CHEMMAT,13%,43%,87%
CHEMMAT203,200,CHEMMAT,9%,42%,89%
CHEMMAT205,200,CHEMMAT,5%,45%,96%
CHEMMAT302,300,CHEMMAT,8%,46%,93%
CHEMMAT303,300,CHEMMAT,10%,47%,93%
CHEMMAT304,300,CHEMMAT,18%,91%,98%
CHINESE101,100,CHINESE,32%,69%,92%
CHINESE130,100,CHINESE,6%,54%,89%
CHINESE201,200,CHINESE,35%,77%,96%
CHINESE301,300,CHINESE,51%,94%,99%
CHINESE377,300,CHINESE,39%,92%,92%
CIVIL200,200,CHINESE,4%,31%,89%
CIVIL301,300,CIVIL,16%,64%,98%
CIVIL302,300,CIVIL,7%,37%,91%
CIVIL303,300,CIVIL,6%,48%,96%
CIVIL304,300,CIVIL,14%,59%,96%
CIVIL305,300,CIVIL,14%,93%,100%
CLINIMAG201,200,CIVIL,3%,58%,99%
COMLAW311,300,COMLAW,8%,56%,93%
COMLAW314,300,COMLAW,5%,43%,94%
COMLAW320,300,COMLAW,3%,35%,93%
COMMS101,100,COMMS,4%,41%,91%
COMMS106,100,COMMS,8%,75%,93%
COMMS208,200,COMMS,17%,55%,88%
COMMS212,200,COMMS,11%,53%,98%
COMMS312,300,COMMS,15%,80%,95%
COMMS313,300,COMMS,16%,68%,95%
COMMS316,300,COMMS,11%,46%,92%
COMMS319,300,COMMS,2%,78%,98%
COMMS320,300,COMMS,11%,95%,95%
COMPSCI235,200,COMPSCI,22%,61%,83%
COMPSCI289,200,COMPSCI,24%,82%,98%
COMPSCI313,300,COMPSCI,8%,48%,86%
COMPSCI315,300,COMPSCI,4%,43%,90%
COMPSCI316,300,COMPSCI,16%,67%,97%
COMPSCI320,300,COMPSCI,4%,32%,80%
COMPSCI335,300,COMPSCI,17%,44%,78%
COMPSCI340,300,COMPSCI,5%,34%,83%
COMPSCI367,300,COMPSCI,7%,41%,86%
COMPSCI389,300,COMPSCI,25%,46%,94%
COMPSYS209,200,COMPSYS,14%,59%,96%
COMPSYS301,300,COMPSYS,10%,50%,98%
COMPSYS303,300,COMPSYS,6%,39%,90%
COMPSYS304,300,COMPSYS,12%,43%,84%
COMPSYS306,300,COMPSYS,45%,91%,99%
CRIM100,100,COMPSYS,12%,68%,91%
CRIM200,200,COMPSYS,10%,36%,78%
CRIM207,200,CRIM,4%,43%,84%
CRIM305,300,CRIM,10%,52%,89%
CRIM307,300,CRIM,5%,54%,86%
CRIM309,300,CRIM,19%,50%,88%
DANCE107,100,DANCE,14%,66%,88%
DANCE110,100,DANCE,8%,55%,90%
DANCE112,100,DANCE,7%,54%,86%
DANCE210,200,DANCE,10%,71%,95%
DANCE212,200,DANCE,4%,55%,91%
DANCE216,200,DANCE,10%,71%,94%
DANCE222,200,DANCE,1%,50%,88%
DANCE302,300,DANCE,6%,57%,90%
DANCE310,300,DANCE,10%,71%,96%
DANCE331,300,DANCE,10%,78%,96%
DANCE351,300,DANCE,12%,62%,86%
DATASCI100,100,DANCE,18%,60%,90%
DESIGN212,200,DESIGN,6%,60%,96%
DESIGN221,200,DESIGN,13%,52%,93%
DESIGN223,200,DESIGN,12%,77%,99%
DESIGN224,200,DESIGN,7%,64%,99%
DESIGN230,200,DESIGN,20%,70%,92%
DESIGN231,200,DESIGN,5%,47%,88%
DESIGN232,200,DESIGN,13%,61%,96%
DESIGN241,200,DESIGN,27%,83%,96%
DESIGN243,200,DESIGN,39%,80%,96%
DESIGN304,300,DESIGN,14%,51%,89%
DISABLTY113G,100,DISABLTY,13%,45%,83%
DRAMA302,300,DRAMA,10%,84%,97%
EARTHSCI202,200,EARTHSCI,18%,56%,89%
EARTHSCI208,200,EARTHSCI,21%,48%,74%
EARTHSCI308,300,EARTHSCI,8%,55%,92%
EARTHSCI361,300,EARTHSCI,7%,44%,90%
EARTHSCI399,300,EARTHSCI,20%,55%,96%
ECON302,300,ECON,12%,54%,94%
ECON311,300,ECON,19%,50%,88%
ECON352,300,ECON,17%,53%,92%
EDCURRIC118,100,EDCURRIC,1%,36%,90%
EDCURRIC119,100,EDCURRIC,6%,46%,94%
EDCURRIC203,200,EDCURRIC,41%,85%,97%
EDCURRIC205,200,EDCURRIC,15%,77%,98%
EDCURRIC216,200,EDCURRIC,7%,72%,99%
EDCURRM111,100,EDCURRM,14%,70%,96%
EDCURRM207,200,EDCURRM,38%,81%,100%
EDPRAC106,100,EDPRAC,28%,60%,90%
EDPROFM200,200,EDPROFM,16%,62%,93%
EDPROFM300,300,EDPROFM,13%,57%,96%
EDPROFM302,300,EDPROFM,23%,54%,91%
EDPROFST105,100,EDPROFST,15%,65%,92%
EDPROFST115,100,EDPROFST,9%,60%,94%
EDPROFST216,200,EDPROFST,6%,44%,90%
EDPROFST309,300,EDPROFST,7%,50%,94%
EDPROFST318,300,EDPROFST,21%,83%,97%
EDPROFST397,300,EDPROFST,13%,63%,98%
EDUC100,100,EDPROFST,16%,48%,82%
EDUC100G,100,EDUC,19%,66%,87%
EDUC113,100,EDUC,6%,47%,89%
EDUC114,100,EDUC,19%,74%,91%
EDUC122,100,EDUC,10%,38%,79%
EDUC201,200,EDUC,12%,53%,87%
EDUC203,200,EDUC,27%,80%,95%
EDUC209,200,EDUC,21%,74%,91%
EDUC213,200,EDUC,8%,61%,92%
EDUC221,200,EDUC,1%,43%,92%
EDUC223,200,EDUC,19%,70%,91%
EDUC283,200,EDUC,5%,41%,87%
EDUC322,300,EDUC,0%,55%,74%
EDUC323,300,EDUC,5%,54%,95%
EDUC347,300,EDUC,6%,72%,90%
EDUC352,300,EDUC,8%,60%,95%
EDUC360,300,EDUC,20%,61%,95%
EDUCSW302,300,EDUCSW,12%,78%,97%
ELECTENG101,100,ELECTENG,8%,40%,90%
ELECTENG204,200,ELECTENG,14%,50%,91%
ELECTENG209,200,ELECTENG,18%,56%,94%
ELECTENG292,200,ELECTENG,7%,37%,91%
ELECTENG305,300,ELECTENG,7%,30%,87%
ELECTENG309,300,ELECTENG,6%,35%,92%
ELECTENG311,300,ELECTENG,15%,59%,98%
ELECTENG331,300,ELECTENG,7%,34%,85%
ELECTENG332,300,ELECTENG,13%,51%,91%
ENGGEN115,100,ENGGEN,12%,62%,91%
ENGGEN131,100,ENGGEN,31%,63%,90%
ENGGEN204,200,ENGGEN,49%,96%,99%
ENGGEN403,400,ENGGEN,36%,96%,99%
ENGLISH102,100,ENGLISH,5%,47%,83%
ENGLISH219,200,ENGLISH,5%,60%,88%
ENGLISH221,200,ENGLISH,8%,46%,80%
ENGLISH262,200,ENGLISH,3%,49%,82%
ENGLISH355,300,ENGLISH,11%,60%,92%
ENGLISH356,300,ENGLISH,3%,45%,94%
ENGLISH360,300,ENGLISH,1%,76%,97%
ENGSCI205,200,ENGSCI,50%,81%,97%
ENGSCI263,200,ENGSCI,38%,89%,98%
ENGSCI311,300,ENGSCI,13%,42%,90%
ENGSCI314,300,ENGSCI,42%,78%,97%
ENGSCI331,300,ENGSCI,43%,81%,97%
ENGSCI344,300,ENGSCI,26%,89%,99%
ENVENG200,200,ENVENG,12%,75%,98%
ENVENG331,300,ENVENG,30%,82%,100%
ENVPHYS200,200,ENVENG,33%,71%,89%
ENVSCI203,200,ENVSCI,15%,49%,81%
ENVSCI303,300,ENVSCI,8%,59%,93%
ENVSCI399,300,ENVSCI,6%,67%,99%
EUROPEAN222,200,EUROPEAN,7%,50%,87%
EUROPEAN322,300,EUROPEAN,15%,64%,89%
EXERSCI100G,100,EXERSCI,7%,42%,88%
EXERSCI103,100,EXERSCI,15%,53%,88%
EXERSCI105,100,EXERSCI,4%,36%,83%
EXERSCI205,200,EXERSCI,6%,55%,91%
EXERSCI206,200,EXERSCI,6%,53%,94%
EXERSCI207,200,EXERSCI,2%,35%,91%
EXERSCI303,300,EXERSCI,3%,57%,97%
EXERSCI307,300,EXERSCI,12%,71%,96%
EXERSCI371,300,EXERSCI,14%,83%,99%
FINANCE362,300,FINANCE,8%,42%,96%
FINEARTS112,100,FINEARTS,10%,63%,87%
FINEARTS113,100,FINEARTS,7%,39%,85%
FINEARTS223,200,FINEARTS,10%,50%,89%
FINEARTS227,200,FINEARTS,12%,67%,94%
FINEARTS228,200,FINEARTS,13%,54%,91%
FINEARTS231,200,FINEARTS,17%,58%,87%
FINEARTS236,200,FINEARTS,6%,37%,82%
FINEARTS245,200,FINEARTS,16%,66%,92%
FINEARTS247,200,FINEARTS,16%,60%,92%
FINEARTS321,300,FINEARTS,17%,60%,96%
FINEARTS322,300,FINEARTS,16%,58%,96%
FOODSCI100,100,FOODSCI,14%,43%,88%
FOODSCI110,100,FOODSCI,21%,68%,95%
FOODSCI202,200,FOODSCI,6%,40%,93%
FRENCH102,100,FRENCH,14%,61%,89%
FRENCH204,200,FRENCH,18%,64%,91%
FRENCH305,300,FRENCH,14%,62%,96%
FRENCH314,300,FRENCH,36%,71%,100%
GENDER101,100,FRENCH,2%,33%,79%
GENDER101G,100,FRENCH,3%,39%,81%
GEOG205,200,GEOG,5%,45%,88%
GEOG262,200,GEOG,5%,40%,83%
GEOG327,300,GEOG,10%,36%,81%
GEOG342,300,GEOG,18%,82%,96%
GEOG352,300,GEOG,3%,32%,88%
GEOG399,300,GEOG,11%,73%,93%
GERMAN102,100,GERMAN,27%,74%,96%
GERMAN201,200,GERMAN,24%,67%,94%
GISCI341,300,GISCI,9%,63%,94%
GISCI399,300,GISCI,15%,80%,93%
GLOBAL101,100,GISCI,13%,70%,92%
GLOBAL101G,100,GISCI,10%,60%,90%
GLOBAL200,200,GLOBAL,26%,88%,96%
GLOBAL301,300,GLOBAL,4%,86%,98%
HEALTHED101,100,HEALTHED,13%,48%,82%
HEALTHED201,200,HEALTHED,28%,79%,92%
HISTORY104,100,HISTORY,11%,45%,81%
HISTORY107,100,HISTORY,6%,45%,77%
HISTORY241,200,HISTORY,5%,48%,87%
HISTORY243,200,HISTORY,6%,49%,79%
HISTORY271,200,HISTORY,17%,64%,86%
HISTORY300,300,HISTORY,14%,60%,83%
HISTORY341,300,HISTORY,20%,68%,90%
HISTORY356,300,HISTORY,6%,51%,84%
HISTORY371,300,HISTORY,23%,58%,80%
HLTHPSYC122,100,HLTHPSYC,11%,54%,92%
INFOMGMT399,300,INFOMGMT,14%,91%,99%
INFOSYS341,300,INFOSYS,7%,59%,94%
INNOVENT308,300,INNOVENT,11%,63%,96%
INNOVENT310,300,INNOVENT,16%,73%,99%
INTBUS151,100,INTBUS,6%,46%,92%
INTBUS151G,100,INTBUS,6%,52%,92%
INTBUS305,300,INTBUS,3%,36%,93%
INTBUS307,300,INTBUS,3%,58%,98%
ITALIAN107,100,ITALIAN,32%,71%,92%
ITALIAN201,200,ITALIAN,24%,65%,87%
JAPANESE131,100,JAPANESE,20%,55%,92%
JAPANESE232,200,JAPANESE,27%,68%,95%
JAPANESE241,200,JAPANESE,9%,49%,91%
JAPANESE332,300,JAPANESE,22%,73%,98%
KOREAN111,100,KOREAN,24%,61%,87%
KOREAN120,100,KOREAN,8%,48%,81%
KOREAN201,200,KOREAN,24%,71%,94%
KOREAN205,200,KOREAN,10%,52%,90%
KOREAN301,300,KOREAN,28%,63%,90%
KOREAN305,300,KOREAN,9%,56%,91%
LANGTCHG207,200,LANGTCHG,8%,60%,93%
LANGTCHG302,300,LANGTCHG,7%,69%,97%
LATIN101,100,LATIN,25%,52%,83%
LATINAM210,200,LATIN,18%,55%,82%
LATINAM310,300,LATINAM,39%,94%,100%
LAW131,100,LAW,2%,47%,91%
LAW141,100,LAW,2%,38%,84%
LAWCOMM400,400,LAW,1%,56%,97%
LAWCOMM415,400,LAW,0%,53%,98%
LAWCOMM433,400,LAWCOMM,3%,53%,94%
LAWCOMM476,400,LAWCOMM,2%,40%,96%
LAWENVIR420,400,LAWCOMM,7%,70%,93%
LAWENVIR433,400,LAWENVIR,0%,70%,93%
LAWGENRL408,400,LAWGENRL,2%,62%,97%
LAWGENRL414,400,LAWGENRL,1%,70%,95%
LAWGENRL434,400,LAWGENRL,1%,81%,98%
LAWGENRL458,400,LAWGENRL,4%,55%,89%
LAWPUBL407,400,LAWPUBL,0%,68%,94%
LAWPUBL411,400,LAWPUBL,1%,54%,89%
LAWPUBL414,400,LAWPUBL,2%,45%,88%
LAWPUBL427,400,LAWPUBL,1%,64%,91%
LAWPUBL430,400,LAWPUBL,0%,62%,95%
LAWPUBL461,400,LAWPUBL,10%,76%,94%
LAWPUBL477,400,LAWPUBL,1%,48%,93%
LAWPUBL481,400,LAWPUBL,3%,71%,94%
LINGUIST101,100,LINGUIST,20%,60%,88%
LINGUIST101G,100,LINGUIST,18%,62%,90%
LINGUIST203,200,LINGUIST,20%,53%,89%
LINGUIST300,300,LINGUIST,27%,57%,87%
LINGUIST301,300,LINGUIST,18%,45%,73%
MAORI130,100,MAORI,38%,71%,92%
MAORI130G,100,MAORI,43%,78%,96%
MAORI201,200,MAORI,25%,68%,90%
MAORI204,200,MAORI,7%,64%,86%
MAORI230,200,MAORI,19%,69%,85%
MAORI292,200,MAORI,12%,51%,86%
MAORI304,300,MAORI,20%,50%,76%
MAORI320,300,MAORI,24%,65%,86%
MAORIHTH201,200,MAORIHTH,4%,48%,92%
MAORIHTH22H,200,MAORIHTH,10%,53%,92%
MAORIHTH24H,200,MAORIHTH,9%,43%,91%
MAORIHTH26H,200,MAORIHTH,5%,41%,92%
MAORIHTH28H,200,MAORIHTH,12%,64%,93%
MAORIHTH31H,300,MAORIHTH,16%,47%,91%
MARINE302,300,MARINE,4%,56%,96%
MATHS270,200,MATHS,17%,47%,81%
MATHS302,300,MATHS,12%,43%,90%
MATHS315,300,MATHS,11%,40%,79%
MATHS320,300,MATHS,12%,42%,82%
MATHS332,300,MATHS,17%,43%,76%
MATHS340,300,MATHS,9%,30%,75%
MATHS362,300,MATHS,15%,40%,86%
MECHENG211,200,MECHENG,12%,45%,93%
MECHENG222,200,MECHENG,17%,59%,93%
MECHENG236,200,MECHENG,5%,48%,97%
MECHENG270,200,MECHENG,39%,80%,96%
MECHENG306,300,MECHENG,45%,97%,99%
MECHENG311,300,MECHENG,6%,38%,94%
MECHENG325,300,MECHENG,16%,57%,95%
MECHENG352,300,MECHENG,8%,52%,96%
MECHENG371,300,MECHENG,41%,84%,98%
MEDIA102,100,MEDIA,5%,49%,89%
MEDIA221,200,MEDIA,4%,46%,93%
MEDIA235,200,MEDIA,14%,85%,95%
MEDIA236,200,MEDIA,4%,50%,89%
MEDIA315,300,MEDIA,6%,53%,96%
MEDIA335,300,MEDIA,17%,81%,96%
MEDIA336,300,MEDIA,6%,53%,93%
MEDIMAGE202,200,MEDIMAGE,5%,69%,100%
MEDIMAGE203,200,MEDIMAGE,16%,79%,100%
MEDIMAGE304,300,MEDIMAGE,25%,86%,99%
MEDIMAGE305,300,MEDIMAGE,11%,86%,99%
MEDIMAGE306,300,MEDIMAGE,18%,88%,99%
MEDSCI142,100,MEDSCI,9%,31%,79%
MEDSCI204,200,MEDSCI,3%,31%,88%
MEDSCI206,200,MEDSCI,3%,27%,79%
MEDSCI300,300,MEDSCI,15%,90%,90%
MEDSCI301,300,MEDSCI,14%,65%,92%
MEDSCI302,300,MEDSCI,6%,44%,90%
MEDSCI309,300,MEDSCI,4%,24%,85%
MEDSCI312,300,MEDSCI,2%,27%,91%
MEDSCI314,300,MEDSCI,8%,51%,93%
MEDSCI317,300,MEDSCI,6%,46%,90%
MEDSCI320,300,MEDSCI,3%,41%,95%
MKTG306,300,MKTG,6%,61%,99%
MUS104,100,MUS,15%,46%,81%
MUS111,100,MUS,10%,48%,82%
MUS145,100,MUS,4%,28%,71%
MUS162,100,MUS,14%,44%,78%
MUS171,100,MUS,11%,74%,93%
MUS181,100,MUS,7%,56%,86%
MUS204,200,MUS,6%,35%,85%
MUS207,200,MUS,4%,69%,81%
MUS211,200,MUS,19%,69%,93%
MUS231,200,MUS,8%,65%,92%
MUS262,200,MUS,10%,66%,86%
MUS271,200,MUS,14%,88%,99%
MUS275,200,MUS,13%,65%,95%
MUS276,200,MUS,16%,44%,84%
MUS281,200,MUS,9%,61%,88%
MUS287,200,MUS,7%,46%,90%
MUS306,300,MUS,2%,47%,49%
MUS311,300,MUS,13%,77%,92%
MUS315,300,MUS,16%,42%,48%
MUS325,300,MUS,4%,46%,88%
MUS331,300,MUS,13%,77%,94%
MUS333,300,MUS,13%,58%,74%
MUS340,300,MUS,4%,32%,64%
MUS356,300,MUS,3%,68%,83%
MUS363,300,MUS,17%,58%,79%
MUS365,300,MUS,6%,59%,90%
MUS371,300,MUS,29%,77%,91%
MUS381,300,MUS,8%,57%,94%
NURSING105,100,NURSING,2%,58%,96%
NURSING202,200,NURSING,3%,73%,99%
NURSING302,300,NURSING,3%,74%,99%
OPSMGT371,300,OPSMGT,10%,38%,87%
PACIFIC105,100,PACIFIC,12%,40%,73%
PACIFIC207,200,PACIFIC,25%,54%,74%
PACIFIC210,200,PACIFIC,16%,62%,82%
PACIFIC217,200,PACIFIC,9%,35%,74%
PACIFIC308,300,PACIFIC,42%,70%,81%
PACIFIC317,300,PACIFIC,9%,50%,91%
PHARMACY111G,100,PHARMACY,22%,74%,90%
PHARMACY213,200,PHARMACY,2%,71%,98%
PHARMACY312,300,PHARMACY,0%,55%,98%
PHARMCOL399,300,PHARMCOL,8%,63%,98%
PHIL101,100,PHIL,14%,34%,63%
PHIL104,100,PHIL,2%,48%,84%
PHIL222,200,PHIL,19%,45%,81%
PHIL228,200,PHIL,0%,30%,83%
PHIL231,200,PHIL,11%,64%,92%
PHIL263,200,PHIL,5%,46%,77%
PHIL308,300,PHIL,9%,52%,91%
PHIL331,300,PHIL,9%,65%,91%
PHIL363,300,PHIL,7%,57%,86%
PHYSED102,100,PHYSED,27%,62%,88%
PHYSICS121,100,PHYSICS,12%,31%,67%
PHYSICS160,100,PHYSICS,15%,54%,91%
PHYSICS202,200,PHYSICS,16%,45%,79%
PHYSICS203,200,PHYSICS,17%,47%,83%
PHYSICS333,300,PHYSICS,23%,60%,93%
PHYSICS335,300,PHYSICS,16%,35%,84%
PHYSICS356,300,PHYSICS,9%,34%,82%
PHYSIOL399,300,PHYSIOL,21%,87%,98%
POLITICS106,100,POLITICS,4%,64%,86%
POLITICS107,100,POLITICS,4%,41%,84%
POLITICS211,200,POLITICS,3%,45%,87%
POLITICS222,200,POLITICS,4%,45%,87%
POLITICS236,200,POLITICS,8%,47%,79%
POLITICS301,300,POLITICS,7%,48%,85%
POLITICS356,300,POLITICS,7%,66%,91%
POPLHLTH102,100,POPLHLTH,5%,61%,92%
POPLHLTH103G,100,POPLHLTH,5%,48%,87%
POPLHLTH207,200,POPLHLTH,3%,58%,95%
POPLHLTH208,200,POPLHLTH,2%,48%,88%
POPLHLTH211,200,POPLHLTH,7%,60%,93%
POPLHLTH216,200,POPLHLTH,10%,48%,88%
POPLHLTH305,300,POPLHLTH,11%,76%,97%
POPLHLTH311,300,POPLHLTH,2%,48%,91%
POPLHLTH312,300,POPLHLTH,9%,78%,97%
POPLHLTH313,300,POPLHLTH,3%,69%,96%
POPLHLTH315,300,POPLHLTH,0%,41%,76%
POPLHLTH316,300,POPLHLTH,6%,60%,95%
PROPERTY102,100,PROPERTY,3%,39%,87%
PROPERTY211,200,PROPERTY,4%,32%,76%
PROPERTY261,200,PROPERTY,6%,53%,92%
PROPERTY271,200,PROPERTY,2%,28%,95%
PROPERTY281,200,PROPERTY,7%,38%,92%
PROPERTY331,300,PROPERTY,9%,69%,97%
PROPERTY362,300,PROPERTY,12%,60%,98%
PROPERTY370,300,PROPERTY,7%,75%,98%
PROPERTY384,300,PROPERTY,7%,70%,97%
PSYCH201,200,PSYCH,4%,28%,77%
PSYCH203,200,PSYCH,6%,40%,83%
PSYCH204,200,PSYCH,2%,40%,89%
PSYCH300,300,PSYCH,4%,47%,92%
PSYCH305,300,PSYCH,8%,39%,86%
PSYCH310,300,PSYCH,8%,57%,96%
PSYCH319,300,PSYCH,5%,42%,92%
PSYCH320,300,PSYCH,7%,48%,90%
PSYCH326,300,PSYCH,8%,43%,89%
PUTAIAO200,200,PSYCH,60%,95%,100%
